index,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,nearestrefflux,nearestreffluxunc,Fluxtot,Fluxunctot,SNRtot,mag_abs,mag_abs_unc,mag_upperlim
2475,792,1,1,ZTF_r,1622262730115,0,1.759,185.465,6.25662,26.2293,1.0405e-05,0.0241915,0.100258,1.50488e-05,350,30.0,0.076954,0.064163,20.5065,26.2293,3,2459376.7627315,792120201,1,98.9327369002152,24.7766671748565,4.44172777325167,1.18249237086372,7.14084753207978,46.8986066708644,0.153286889768571,1.04334628344012,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,147.83491022125162,3702.7125923090266,47.746134192127904,3850.547502530278,53.791974927365295,71.58219246885115,17.2654937863441,0.015167180028363064,
2476,792,1,1,ZTF_i,1623204050115,0,2.0845,282.293,6.09184,25.6511,1.60518e-05,0.042906,0.17599,6.59072e-05,331,30.0,0.083671,0.08924,19.773,25.6511,2,2459377.7040509,792120301,1,-39.0931467546686,27.2152012070597,-1.5978789718189,1.23832040817435,-85.6144625216018,48.739939515496,-1.76838711145922,1.04213337380888,0.230537133946361,17.0409995651245,0.0240000002086163,0.894999980926514,-0.0480000004172325,2458227.88581,2458367.633171,0,-239.460872905516,200.3677261508474,2779.9704140787862,61.45278669783365,2980.3381402296336,67.20946488159375,44.344024245398224,16.96543614844627,0.02448356951078178,
2477,792,1,1,ZTF_r,1623245210115,33554432,1.5727,934.744,12.6771,28.0556,9.1117e-06,0.0223266,0.100164,1.31047e-05,344,150.0,0.070392,0.067661,21.3271,28.0556,3,2459377.7452199,792120201,1,559.638459636245,66.6956292796905,9.33393944736193,1.57847717953472,198.656777374284,125.28769694154,1.59628396947003,1.03829264871536,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,608.5406329572813,19908.56709210761,256.71911936323966,20517.10772506489,265.24142438852044,77.35257708091565,17.275309653195848,0.014035731464567621,
2478,792,1,1,ZTF_r,1623247580115,0,1.5547,186.858,5.98921,26.2465,1.11143e-05,0.0245992,0.0994473,1.59593e-05,343,30.0,0.075583,0.068743,20.6298,26.2465,3,2459377.747581,792120201,1,49.2638988629211,23.5258544412309,2.32936837776421,1.55317760329571,66.432468219764,46.0795411613561,1.45140105629997,1.03178622353634,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,98.16607218395751,3761.8372543474793,48.50854120519606,3860.003326531437,53.912377030197696,71.59772095319319,17.280030802638215,0.01516389049184643,
2479,792,1,1,ZTF_r,1623248540115,0,1.5864,186.8,6.16243,26.2476,1.0707e-05,0.0242721,0.0984949,1.53852e-05,347,30.0,0.073977,0.068671,20.601,26.2476,1,2459377.7485417,792120201,1,49.8528740472378,22.2659852363264,2.49059484590581,1.4824103690774,86.5039577028246,44.4161035097894,1.96069803412081,1.03011950601898,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,98.7550473682742,3765.6504438328357,48.557711928639726,3864.4054912011097,53.41933625840989,72.3409492118639,17.27989327360747,0.015008097237158529,
2480,792,1,1,ZTF_g,1623350540115,0,1.7557,243.956,6.12452,26.2715,1.1798e-05,0.0258584,-0.048935,1.72964e-05,347,30.0,0.078819,0.062887,20.5416,26.2715,3,2459377.850544,792120101,1,226.070683944534,23.9764491826253,10.4885193334201,1.35173616209416,209.684498139367,44.357040622136,4.75903559700437,1.0307871399197,0.18187314751884,17.5039999008179,0.0099999997764825,0.236000001430511,-0.003000000026077,2458202.807812,2458227.849491,0,-49.255437388356995,275.32612133289103,3213.6608322085153,29.599896475799685,3488.9869535414064,38.09230876154754,91.59295057125496,17.41475163629343,0.011853532321304325,
2481,792,1,1,ZTF_g,1623352890115,0,1.8199,243.926,6.16323,26.2817,1.20883e-05,0.0261015,-0.0553492,1.77167e-05,348,30.0,0.078661,0.064962,20.5401,26.2817,1,2459377.8528935,792120101,1,150.013288356,24.197378980854,6.89630095220788,1.27752216532373,119.468913035422,44.9275640570353,2.67705462254,1.03238412774669,0.18187314751884,17.5039999008179,0.0099999997764825,0.236000001430511,-0.003000000026077,2458202.807812,2458227.849491,0,-49.255437388356995,199.268725744357,3243.9939805180857,29.879284406457984,3443.262706262443,38.448469230712924,89.55526124072422,17.439274603035248,0.012123240834300537,
2482,792,1,1,ZTF_g,1624216220115,33554432,2.1272,1292.21,10.6091,28.0972,5.69e-06,0.0179023,-0.0547517,8.29165e-06,349,150.0,0.073437,0.060885,21.3822,28.0972,3,2459378.7162269,792120101,1,1390.27747958897,60.6354560369436,25.5052532865928,1.86626601409194,1238.7492407936,100.925037593837,12.3566195062564,1.04357622932871,0.18187314751884,17.5039999008179,0.0099999997764825,0.236000001430511,-0.003000000026077,2458202.807812,2458227.849491,0,-49.255437388356995,1439.532916977327,17269.510973217755,159.06337466347944,18709.043890195084,170.22871581534812,109.90533412993204,17.417071015459257,0.009878501426659294,
2483,792,1,1,ZTF_g,1624218550115,0,2.0004,259.327,5.34825,26.3329,1.2429e-05,0.0266424,-0.0615519,1.83226e-05,349,30.0,0.075648,0.06343,20.6755,26.3329,2,2459378.7185532,792120101,1,274.982263361694,23.0041518929853,13.2969873891324,1.3937042682613,246.562206132225,39.8251976946475,6.23280815024857,1.03542413162435,0.18187314751884,17.5039999008179,0.0099999997764825,0.236000001430511,-0.003000000026077,2458202.807812,2458227.849491,0,-49.255437388356995,324.237700750051,3400.635151302291,31.322050983624795,3724.872852052342,38.86208797962778,95.84850031745563,17.405121368090896,0.011327250780180187,
2484,792,1,1,ZTF_g,1624219490115,0,2.0212,259.497,5.24526,26.3322,9.0722e-06,0.0226963,-0.0591068,1.32634e-05,349,30.0,0.072161,0.068063,20.6759,26.3322,3,2459378.7194907,792120101,1,192.044496382981,23.7964555522047,8.97727217480527,1.34556031140608,172.410058172943,42.0970062939532,4.12312573065953,1.03499675669852,0.18187314751884,17.5039999008179,0.0099999997764825,0.236000001430511,-0.003000000026077,2458202.807812,2458227.849491,0,-49.255437388356995,241.299933771338,3398.44338741371,31.301863419476398,3639.743321185048,39.3201977408508,92.56676034982453,17.429523105522627,0.01172883220604207,
