 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 19 792 1 1 ZTF_g 451338930115 0 2.4186 210.541 11.7776 26.118 2.77417e-05 0.0370375 -0.0546454 4.83637e-05 287 30. 0.054824 0.058064 19.4325 26.118 2 2458205.8389352 792120101 1 -33.7258710915284 52.9387259921767 -0.708670722985111 0.966333901072033 -163.822280201676 91.3127040727179 -1.80616305648986 1.03988322041966 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 20 792 1 1 ZTF_g 451350450115 0 2.7488 184.792 12.5703 25.9706 5.00076e-05 0.0462841 -0.0436874 9.77339e-05 234 30. 0.056717 0.056863 19.1122 25.9706 1 2458205.8504514 792120101 1 175.605098171747 67.4745528255761 2.89502225244782 0.99494984159014 175.048448981019 107.096860910254 1.64549557156469 1.0536424767307 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 21 792 1 1 ZTF_g 451359790115 0 2.6383 182.158 13.0429 25.9764 3.94727e-05 0.0396467 -0.0526474 7.65193e-05 226 30. 0.05875 0.056993 19.1195 25.9764 2 2458205.8597917 792120101 1 -104.34300132804 65.9226693378147 -1.76069179853188 1.04032537953812 -120.732117074323 106.444469781421 -1.14186537899731 1.05725626466383 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 22 792 1 1 ZTF_g 451360710115 0 2.5407 191.798 12.464 26.0183 3.66392e-05 0.0400062 -0.0548225 6.80097e-05 247 30. 0.057465 0.05587 19.2457 26.0183 1 2458205.8607176 792120101 1 -157.905741335204 55.811091345142 -3.14725699235201 1.0947079217075 -145.251470983282 93.2579911361655 -1.56801305942646 1.05081278449542 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 23 792 1 1 ZTF_g 451377380115 0 2.376 218.007 11.4418 26.1427 3.40419e-05 0.04105 -0.0430355 5.80441e-05 294 30. 0.055829 0.052692 19.5238 26.1427 2 2458205.8773843 792120101 1 39.5102342515701 51.7386471527639 0.849472525308226 1.08328029220039 109.066117732583 89.0290588149477 1.2333128730345 1.04370536688982 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 24 792 1 1 ZTF_g 451397230115 0 3.0385 188.239 12.4885 25.9835 5.18761e-05 0.0429145 -0.0399274 0.000101003 204 30. 0.072505 0.066623 19.0632 25.9835 2 2458205.8972338 792120101 1 -90.6921696382803 75.2208924979653 -1.34117704231175 0.977221739197295 3.66881275915306 110.859201598569 0.0333172381806009 1.07884388906237 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 25 792 1 1 ZTF_g 451417780115 0 2.5924 122.215 14.2221 25.518 6.81779e-05 0.0444611 -0.0564148 0.000133656 169 30. 0.0644 0.058524 18.5984 25.518 2 2458205.9177894 792120101 1 137.495223333892 75.8035495013934 2.01768269830997 1.08355646312736 127.194169010773 123.113625381966 1.04010282095 1.06021941956188 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 26 792 1 1 ZTF_g 451459180115 0 2.4876 238.769 9.44178 26.231 2.47194e-05 0.0361046 -0.0342048 4.0159e-05 315 30. 0.058887 0.053735 19.8438 26.231 2 2458205.9591898 792120101 1 -17.3786650307823 42.545246915204 -0.454381002103606 0.968447568366162 92.6371258318825 71.2308359098559 1.3092790645087 1.05242901386862 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 27 792 1 1 ZTF_g 452301310115 0 2.1921 240.657 12.9755 26.2868 2.28677e-05 0.0344995 -0.0756741 3.74352e-05 310 30. 0.049029 0.049581 19.6123 26.2868 2 2458206.8013194 792120101 1 96.1704829838811 47.1455237252287 2.26911305099353 1.10484478854568 220.418006587779 88.0119568779005 2.52127713569333 1.03013771847315 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 28 1795 11 0 ZTF_g 452308484015 0 1.9487 835.116 13.4885 26.3553 1.95471e-05 0.0340582 -0.0693437 3.28025e-05 341 30. 0.049766 0.046755 19.733 26.3553 2 2458206.8084838 1795120140 1 38.5733675161367 56.2007569223629 0.7634844417391 1.21604891758904 56.738689716667 105.996942999227 0.53889127780582 1.05115882013659 0.147833312137212 17.5030004501343 0.0179999992251396 0.40599998831749 -0.00100000004749745 2458206.808484 2458540.927107 0
