RA,Dec
36.98383331298828,-4.9098944664001465
36.4825439453125,-4.916970729827881
35.99431228637695,-4.8977437019348145
36.78761291503906,-4.91946268081665
35.97441101074219,-4.918981552124023
36.620094299316406,-4.919171333312988
36.91032028198242,-4.93962287902832
35.99077606201172,-4.9391770362854
36.00477981567383,-4.938767910003662
36.79566192626953,-4.9214301109313965
36.66364669799805,-4.90568208694458
36.69322967529297,-4.905574321746826
36.56298828125,-4.898819923400879
36.61712646484375,-4.886913776397705
37.10053634643555,-4.885568141937256
36.927886962890625,-4.8922576904296875
36.225399017333984,-4.892105579376221
36.262001037597656,-5.322750091552734
36.91451644897461,-4.895907878875732
36.07294464111328,-4.875955104827881
36.8012809753418,-4.872312545776367
36.70405578613281,-4.871585845947266
36.0568733215332,-4.956691265106201
36.164634704589844,-4.900774955749512
36.48952102661133,-4.900865077972412
36.595638275146484,-4.9005446434021
36.05416488647461,-4.89959192276001
36.75693893432617,-4.866049766540527
36.37495803833008,-4.865818500518799
36.555484771728516,-4.866424083709717
36.350608825683594,-4.873633861541748
36.10416793823242,-4.863421440124512
36.8487663269043,-4.871717929840088
36.056121826171875,-4.86954927444458
36.23868179321289,-4.856762886047363
36.6325798034668,-4.857649326324463
36.842472076416016,-4.872715950012207
36.46282196044922,-4.8822479248046875
36.016902923583984,-4.85520076751709
36.463340759277344,-4.86739444732666
36.856597900390625,-4.8674492835998535
36.692832946777344,-4.865416526794434
36.558502197265625,-4.884496688842773
36.76709747314453,-4.845210075378418
36.599639892578125,-4.861067771911621
36.85982894897461,-4.861550331115723
36.25930404663086,-4.860461711883545
36.49208068847656,-4.8995585441589355
36.863224029541016,-4.840804576873779
36.32022476196289,-4.840660095214844
36.2115364074707,-4.850686550140381
36.6253776550293,-4.909517765045166
36.85149383544922,-4.910076141357422
36.87919998168945,-4.866390228271484
36.133697509765625,-4.839807987213135
36.90377426147461,-4.8426666259765625
37.0984992980957,-4.857332229614258
36.4123420715332,-4.857266902923584
36.11869430541992,-4.8435821533203125
36.7524299621582,-4.843591213226318
37.07372283935547,-4.855339527130127
36.04318618774414,-4.842282295227051
37.02606964111328,-4.8350911140441895
36.49007797241211,-4.834815502166748
36.24789810180664,-4.834977626800537
36.173561096191406,-4.833737850189209
36.70384216308594,-4.830170631408691
36.91810989379883,-4.8585920333862305
36.95924377441406,-4.825280666351318
36.6131477355957,-4.829236030578613
36.6234130859375,-4.8206915855407715
36.26725387573242,-4.818403720855713
36.56802749633789,-4.817392349243164
37.09331512451172,-4.8330864906311035
36.22938919067383,-4.845543384552002
35.964942932128906,-4.8191237449646
36.62153244018555,-4.807025909423828
36.69785690307617,-4.8251543045043945
36.475791931152344,-4.82252836227417
36.13620376586914,-4.80455207824707
36.799171447753906,-4.843878269195557
37.05246353149414,-4.8023681640625
36.38624572753906,-4.8021039962768555
36.66295623779297,-4.813488483428955
36.07306671142578,-4.799764633178711
36.41872024536133,-4.7956013679504395
36.926326751708984,-4.8044328689575195
36.664398193359375,-4.807982444763184
35.97835922241211,-4.8042120933532715
36.8828239440918,-4.832873344421387
36.09434509277344,-4.811806678771973
36.61846923828125,-4.91084098815918
36.124122619628906,-4.799149990081787
36.45179748535156,-4.799253463745117
36.1566047668457,-4.8310041427612305
36.178226470947266,-4.8013715744018555
37.055137634277344,-4.90454626083374
36.369815826416016,-4.8107991218566895
36.34021759033203,-4.810525894165039
36.06145477294922,-4.83665132522583
36.73855209350586,-4.836782932281494
36.470550537109375,-4.836892127990723
36.309940338134766,-4.783372402191162
36.42852783203125,-4.78134822845459
36.87029266357422,-4.81619930267334
36.63880157470703,-4.776986598968506
36.70122146606445,-4.785737991333008
36.0933952331543,-4.785442352294922
36.081443786621094,-4.797965049743652
36.82240676879883,-4.789991855621338
36.48374557495117,-4.79012393951416
36.3123664855957,-4.7949347496032715
36.323551177978516,-4.76756477355957
36.20262908935547,-4.782573699951172
36.948665618896484,-4.789041042327881
36.52195739746094,-4.788173675537109
36.04119110107422,-4.788362503051758
36.79885482788086,-4.7875494956970215
36.529144287109375,-4.762000560760498
36.58327102661133,-4.760075569152832
36.1847038269043,-4.759994983673096
36.81714630126953,-4.760836601257324
36.150047302246094,-4.7725138664245605
36.68010330200195,-4.77207088470459
36.798072814941406,-4.757610321044922
36.50404357910156,-4.7645416259765625
36.856224060058594,-4.772216796875
36.13721466064453,-4.795063495635986
36.54574966430664,-4.764009475708008
36.14415740966797,-4.751720428466797
36.33031463623047,-4.78710412979126
36.6024169921875,-4.7566657066345215
36.18054962158203,-4.750074863433838
36.66928482055664,-4.768618583679199
36.732730865478516,-4.7551727294921875
36.754024505615234,-4.75473165512085
36.30179214477539,-4.7546210289001465
36.531280517578125,-4.87477445602417
36.9775505065918,-4.759842395782471
36.993865966796875,-4.740001678466797
36.10901641845703,-4.756894111633301
36.13653564453125,-4.7667036056518555
36.46849822998047,-4.733585357666016
36.04137420654297,-4.7570481300354
36.743953704833984,-4.7324442863464355
36.74957275390625,-4.74183988571167
36.5744743347168,-4.741084098815918
36.41670608520508,-4.7410054206848145
36.819610595703125,-4.74906587600708
36.603546142578125,-4.731870174407959
37.05435562133789,-4.748107433319092
36.657920837402344,-4.739427089691162
36.6995849609375,-4.73868989944458
36.34248733520508,-4.727155685424805
36.06222915649414,-4.731592655181885
36.85855484008789,-4.740438461303711
36.18474197387695,-4.737395763397217
36.87744140625,-4.7605366706848145
36.38340759277344,-4.7296319007873535
36.500328063964844,-4.736508846282959
36.42264175415039,-4.7206268310546875
36.24552917480469,-4.730881690979004
36.867164611816406,-4.718411445617676
36.712581634521484,-4.715757369995117
36.02613830566406,-4.710604190826416
36.79288864135742,-4.710247039794922
