diaObjectId,ra,dec
609788736447710337,53.6012143487689,-28.383222957611636
609788736447710230,53.55496137652885,-28.353301326667278
609789423642476604,53.58310218541457,-28.324467145821615
609789423642477251,53.59711328402287,-28.306565938639963
609789354923000189,53.731813152689384,-28.330439048629025
609789354922999909,53.6959116297965,-28.32160219965554
609789354922999821,53.695471288501984,-28.307179108422424
609789354922999897,53.73273568362419,-28.310578239541535
609789354923000215,53.75406706393146,-28.28267543935924
609789354922999852,53.70570305633794,-28.293151149870813
609789354922999921,53.71811964502316,-28.27590102590791
609789354922999976,53.74195023373123,-28.28121112042189
609789354922999960,53.748432355803075,-28.27506169183047
609789354922999857,53.73428099653134,-28.26614816703551
609789354922999846,53.67427084478504,-28.310344174755475
609789423642476856,53.62766539763253,-28.30260364493208
609789423642476858,53.63589877688664,-28.304661586530656
609789354922999948,53.698732666395095,-28.274107830861517
609789354923000232,53.69977487267061,-28.267792450911564
611253492094337852,53.72243670035828,-28.25049537114804
609788736447710218,53.543574594727616,-28.3494074411594
609789423642476588,53.549503420761724,-28.317912205642884
609789423642476667,53.5552290433196,-28.306360071913137
609789423642476867,53.574250001596155,-28.288040671057097
609789423642476578,53.542004930455086,-28.281140215332695
609789423642476578,53.542004930455086,-28.281140215332695
609789423642476578,53.542004930455086,-28.281140215332695
609789423642476578,53.542004930455086,-28.281140215332695
609789423642477051,53.49128192412263,-28.305274069113562
609789492361953537,53.444967415688204,-28.285195847150394
611253560813814713,53.52790074446731,-28.220112806328544
611253560813814907,53.62478429679669,-28.221418426055074
611253560813815080,53.58359167256363,-28.210865442356553
611254248008582983,53.599774602653255,-28.152059405723023
609788805167190126,53.297490415630705,-28.40866822272701
609788805167190079,53.307414904027596,-28.360791833426198
609788805167189854,53.29641221427411,-28.35976745240076
609788805167190108,53.30115231824526,-28.358861196152063
609788873886671660,53.18792000634676,-28.372408611897946
609789492361953540,53.27127572372056,-28.307933532171024
609789492361953558,53.27053624716088,-28.303617368791272
609789492361953564,53.36107016858659,-28.335067108577434
609788805167189978,53.326813293480164,-28.34709547430245
609789492361953713,53.317503747018655,-28.337966151911086
609789492361953483,53.308695096989155,-28.338391556470576
611253629533293327,53.387452747417,-28.254927081115724
609789492361953508,53.33321149221694,-28.276723533873785
611253629533293288,53.38353082155081,-28.248747648643644
609789561081433492,53.182522180789704,-28.29874946674012
609789561081433950,53.18134109093503,-28.29822035690741
609789561081433692,53.23260192625387,-28.306409468116627
609789561081433724,53.23729014018673,-28.31037348327671
609789561081433795,53.243211119584394,-28.305271156114635
609789561081433832,53.122643301872884,-28.311220749103203
609789561081433909,53.12090577365054,-28.30539018220217
609789561081433946,53.19635253706306,-28.27225596831781
611253698252767551,53.268902838359324,-28.258785530191634
611253698252767762,53.27620336966684,-28.234493925479228
611253698252767786,53.234394146764764,-28.241577328919753
611253698252767578,53.26475363213377,-28.22395195458897
611253629533293463,53.2981025376694,-28.194151894849995
611254385447537332,53.27389367906694,-28.155972318218442
609789492361953605,53.41735214535793,-28.2670304153291
611253629533293033,53.39495755286448,-28.236369409810806
611253629533290719,53.37482397599198,-28.23213673457566
611254248008584629,53.54861546960419,-28.167525476603434
611254248008585143,53.527358178066414,-28.115610786527512
611254316728063808,53.354567930725494,-28.136502093685642
611254316728058897,53.40275542440339,-28.10718624742516
611254316728063833,53.311986311064636,-28.148541288562495
611254316728058829,53.314178652749035,-28.126993933873294
611254316728058914,53.32851993414358,-28.132334732910433
611254316728059025,53.329384179943375,-28.104981937984807
609789354922999981,53.80248217061161,-28.275520675367922
609789354922999979,53.807810794453324,-28.268415865333587
611253492094337275,53.80570265934301,-28.239585882987672
611253492094337883,53.770255606506666,-28.25303375972687
611253492094337042,53.79040921355663,-28.24175638491117
611253492094337557,53.79298837693288,-28.230285682932227
611253492094337877,53.73263863512715,-28.22269736813212
611253492094337387,53.77427326095876,-28.20347526705439
611253492094337826,53.71568110359298,-28.201247219015695
611253492094337826,53.71568110359298,-28.201247219015695
611253492094337277,53.777030387999396,-28.18764435690262
611254179289104583,53.81086162081508,-28.165845848199833
611254110569627650,53.84804384567203,-28.123252592239233
611254179289104920,53.723493273852924,-28.15899846331516
611254179289104944,53.684388533022144,-28.14621786930077
611254179289104884,53.75125107442838,-28.14995854602292
611254179289104799,53.75988715471037,-28.137575106638593
611254179289104748,53.779010705897306,-28.112124898506046
611254179289104873,53.76339383397442,-28.121409412987525
611254179289104551,53.75144331204257,-28.102955389907542
611254179289104655,53.661278146141775,-28.15953567906042
611254179289104414,53.67048038428014,-28.12652331790922
611254179289104698,53.69807100596894,-28.10547944473374
609789561081433940,53.088319574866894,-28.27799309010605
609789561081431650,53.08680674541529,-28.26529623730208
611253698252767815,53.09473012632142,-28.19267698417251
611254385447536857,53.11203424092153,-28.14297182361081
611254385447535764,53.08945695699238,-28.13568500943161
611254385447537435,53.18886235105983,-28.17649310141824
611254385447537131,53.14850330799556,-28.15949811059154
611254385447537542,53.1543281480578,-28.142569047960254
611254385447537049,53.20431558142071,-28.15101677402531
611254385447537714,53.12824179360727,-28.109382352473805
611254385447537735,53.1880479568587,-28.105561870426143
611254454167016701,53.01905656836785,-28.167209570396967
611254454167016654,53.03059861815021,-28.16678160480402
611254454167016705,52.95902753665878,-28.158220014602577
611254454167017079,53.01032967191844,-28.14815949904524
611254454167016490,52.94840210338686,-28.163304333419507
611254660325441595,52.47894925716526,-28.15919187860183
