 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 19 1246 5 1 ZTF_g 1422261681715 0 2.6682 495.591 9.39337 26.0749 2.92829e-05 0.0388169 -0.0435577 5.19658e-05 300 30. 0.064182 0.09756 19.6067 26.0749 3 2459176.7616898 1246120117 1 39.7485171449253 49.7307311632325 0.889100568962556 0.924874827183066 91.2491201770193 78.9395170889292 1.16372245028979 1.06187323060701 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 20 1246 5 1 ZTF_r 1422306811715 0 2.3111 483.517 9.6783 26.1869 1.64103e-05 0.0308577 0.128023 2.32854e-05 384 30. 0.063009 0.084831 19.837 26.1869 2 2459176.8068171 1246120217 1 21.4431517949566 45.8371063034989 0.520386747757728 1.00285467476477 41.281893253003 79.4537555092659 0.523070670641431 1.04752758571673 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 21 1246 5 1 ZTF_r 1422307281715 0 2.3452 483.753 9.69255 26.1926 1.63546e-05 0.0308641 0.123564 2.31744e-05 386 30. 0.064613 0.080168 19.835 26.1926 3 2459176.8072801 1246120217 1 -23.9080016833257 46.240507306038 -0.575142536921692 0.969570442845165 -32.2622253172728 79.6438539291531 -0.407809412260246 1.05007583364916 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 22 1246 5 1 ZTF_g 1425255991715 0 3.9684 510.533 13.949 26.1067 5.90374e-05 0.0395484 -0.0405726 0.000141865 168 30. 0.088081 0.100902 18.8347 26.1067 2 2459179.7559954 1246120117 1 71.5495576213622 102.993100783348 0.77277599060188 0.980332305780596 129.531374254012 129.793942416506 1.00469847116382 1.16991409574165 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 23 1246 5 1 ZTF_g 1425256451715 0 3.3831 511.653 14.0295 26.1112 4.9397e-05 0.0407948 -0.0407498 0.000112741 203 30. 0.079431 0.095782 18.9874 26.1112 3 2459179.7564583 1246120117 1 163.097922590747 94.8462173538311 1.9128601308576 0.993842790897138 308.189202195355 128.688964102399 2.41096722137647 1.12813561117128 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 24 1246 5 1 ZTF_g 1427243331715 0 3.0262 496.082 18.1414 26.1213 5.67412e-05 0.0415217 -0.0669179 0.000133785 187 30. 0.080453 0.112522 18.7942 26.1213 2 2459181.7433333 1246120117 1 168.089873633896 112.497227113274 1.66208998985642 0.97309241468797 452.427864004913 167.233726785336 2.72358333725372 1.06686590776424 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 25 1246 5 1 ZTF_g 1427243801715 0 3.1414 495.201 18.1597 26.1035 5.72487e-05 0.0412105 -0.0346942 0.000134067 182 30. 0.082748 0.108326 18.7515 26.1035 3 2459181.7438079 1246120117 1 147.683758786717 115.47487775072 1.42265641742299 1.02677647177377 245.482952928122 167.365609343731 1.47662530975745 1.07616734786727 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 26 1246 5 1 ZTF_r 1427318511715 33554432 3.3769 477.168 17.1693 26.1975 5.01839e-05 0.0510233 0.136036 7.4686e-05 327 30. 0.084862 0.104235 18.854 26.1975 2 2459181.8185185 1246120217 1 118.312188057201 100.527807141438 1.30917612957005 1.10918736462164 177.715530076214 137.741207980779 1.29890289927681 1.10924559086688 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 27 1246 5 1 ZTF_r 1427318991715 33554432 3.232 472.33 16.9301 26.1996 4.76002e-05 0.0506216 0.12902 6.93197e-05 344 30. 0.083403 0.108345 18.909 26.1996 3 2459181.8189931 1246120217 1 -7.68623353344088 104.190671226081 -0.0820615169472657 0.927882419345698 -29.8114617397781 147.560309105361 -0.203389677290293 1.08839336690713 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 28 1246 5 1 ZTF_g 1428244281715 0 2.6311 506.925 20.354 26.1194 5.40182e-05 0.0423584 -0.042586 0.000128892 203 30. 0.075372 0.098404 18.794 26.1194 2 2459182.7442824 1246120117 1 -48.6717728997538 103.350535441535 -0.523864821929889 1.09201675477638 -109.384436765639 165.607390839086 -0.664953095889777 1.06228758858943 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
