oid,tid,sid,meanra,meandec,sigmara,sigmadec,firstmjd,lastmjd,deltamjd,n_det,n_forced,n_non_det,stellar,class_name,classifier_name,classfier_version,probability,ranking,matched_oids
170028526577123617,1,1,185.0228052594711,8.233845699125945,1.4711437146784917e-07,1.5258413724236718e-07,61090.2484597937,61098.2326437367,7.984183943000971,241,346,0,,AGN,stamp_classifier_rubin_beta,,0.9635585,1,ZTF24aaivocx
170028526604386399,1,1,186.5950870870956,7.748818636230105,2.343070027267207e-07,2.576453473643325e-07,61090.247937232445,61098.24137255241,7.993435319964192,575,511,0,,AGN,stamp_classifier_rubin_beta,,0.96348894,1,ZTF25aanffrd
314011777330315515,1,1,150.54466200396797,2.507264862487275,7.288536432513295e-08,7.612433909239038e-08,61060.30046149712,61098.27558588278,37.975124385659,537,987,0,,AGN,stamp_classifier_rubin_beta,,0.96347547,1,ZTF20actkrbd
170050543262105697,1,1,188.5689027385875,7.286073536664483,1.8401158740743995e-05,1.5668054402340204e-05,61095.328047180985,61095.328047180985,0.0,1,0,0,,AGN,stamp_classifier_rubin_beta,,0.96333164,1,ZTF24aaiybxk
170028527276523603,1,1,186.5197297420639,8.894718924799617,3.309669436229499e-07,3.464529212975513e-07,61090.24986030235,61098.239036417246,7.989176114890142,94,99,0,,AGN,stamp_classifier_rubin_beta,,0.96312857,1,ZTF20aavxgcx
170032918002401378,1,1,186.95841492171863,7.814915390827764,5.615400430306904e-06,5.944765750774859e-06,61090.25865463237,61095.32848646294,5.069831830565818,46,227,0,,AGN,stamp_classifier_rubin_beta,,0.9619849,1,ZTF24aaivozn
170028527472607333,1,1,187.91071419632917,7.04770169552858,1.933076777965753e-07,2.005817064039458e-07,61090.25122729094,61098.24137255241,7.990145261472208,158,314,0,,AGN,stamp_classifier_rubin_beta,,0.9617752,1,ZTF21aaomreg
170050533248729229,1,1,188.40382826907404,9.47842896075398,1.1019639714504592e-05,1.1020089004887268e-05,61095.290786506,61095.290786506,0.0,1,0,0,,AGN,stamp_classifier_rubin_beta,,0.9617562,1,ZTF20aczfxya
170028526901133371,1,1,187.64251557811116,7.551461976943871,3.893146733448106e-08,3.96737286635372e-08,61090.24939239549,61097.34668313144,7.09729073595372,210,327,0,,AGN,stamp_classifier_rubin_beta,,0.96175575,1,"ZTF24aaosjie,ZTF18acyduzz"
170028530648219725,1,1,185.9020008082103,7.081334703138354,1.7633822266687212e-07,1.7775270279848612e-07,61090.25079449601,61095.32848646294,5.077691966929706,83,242,0,,AGN,stamp_classifier_rubin_beta,,0.96099645,1,ZTF23aajlrks
170032922659127348,1,1,186.61869948791903,7.614554486546594,4.530450002855534e-08,4.8598543775855254e-08,61091.25862977195,61095.206505874754,3.9478761028003646,5,121,0,,AGN,stamp_classifier_rubin_beta,,0.9608257,1,ZTF19aahmyiz
170028510513463439,1,1,149.8680707723039,2.3306744089325555,2.334368520882638e-07,2.4493094160281756e-07,61090.1077735384,61109.14520318322,19.037429644820804,982,1010,0,,AGN,stamp_classifier_rubin_beta,,0.9610026,1,ZTF21aactrmz
170050533136007297,1,1,186.2735194841397,9.42838310412638,2.1299456420820206e-05,2.193260661442764e-05,61095.29034840895,61095.29034840895,0.0,1,0,0,,AGN,stamp_classifier_rubin_beta,,0.9604807,1,"ZTF23aafksnf,ZTF23aagfxkr"
170028527300116610,1,1,187.13657288310085,8.283302723785347,3.877392081307637e-07,4.174684723098635e-07,61090.24986030235,61098.23170917276,7.981848870404065,287,432,0,,AGN,stamp_classifier_rubin_beta,,0.9597884,1,"ZTF23aagfywj,ZTF23aahpslm,ZTF23aafkqlj,ZTF23aaegcmj,ZTF23aafkwjh"
170028510536007775,1,1,149.9954809657147,0.9978145201584152,3.9166462705392835e-08,3.9212211425505815e-08,61090.180597784965,61096.14302064572,5.962422860757215,217,411,0,,AGN,stamp_classifier_rubin_beta,,0.959489,1,ZTF21aajadqq
170032907525554340,1,1,151.52916931131114,1.7688207016946311,6.6465624721609755e-06,6.226998724504009e-06,61091.19380656709,61095.16411102216,3.9703044550769846,24,206,0,,AGN,stamp_classifier_rubin_beta,,0.9594138,1,ZTF22abybzfa
170028526512111618,1,1,186.9859333170833,6.306179508696522,1.3436018457404865e-07,1.3489667470207562e-07,61090.247937232445,61098.23797378523,7.990036552786478,366,563,0,,AGN,stamp_classifier_rubin_beta,,0.9583778,1,ZTF20aaoyqpe
170028526498480175,1,1,187.2834502763623,7.950330237721516,9.737028369066153e-08,9.877442487731724e-08,61090.247937232445,61095.2185456929,4.970608460454969,168,276,0,,AGN,stamp_classifier_rubin_beta,,0.95801914,1,ZTF23aaegcmk
170028526474363018,1,1,186.56063045939075,8.181228629848805,3.7362238752340554e-07,4.1714277244516434e-07,61090.247937232445,61098.24137255241,7.993435319964192,556,567,0,,AGN,stamp_classifier_rubin_beta,,0.9575986,1,ZTF19aarabjp
313871013120049171,1,1,149.55458568239146,0.888049140390346,2.984468105994059e-07,3.002138241293187e-07,61028.31830778888,61099.315350998135,70.9970432092523,924,913,0,,AGN,stamp_classifier_rubin_beta,,0.9576103,1,ZTF22abtbpgq
170046091661148334,1,1,148.85938278894744,1.7809297010024652,2.3806529564170997e-06,2.4345134936626037e-06,61094.12696521153,61108.09068913838,13.963723926848616,36,18,0,,AGN,stamp_classifier_rubin_beta,,0.95739985,1,ZTF20acymaeh
170068069954093161,1,1,52.49549068422694,-29.100463507413743,4.956264695764343e-06,4.732346493478243e-06,61099.0424163051,61103.03681518829,3.9943988831873862,6,4,0,,AGN,stamp_classifier_rubin_beta,,0.9568339,1,ZTF22abhuobv
170032920625414172,1,1,186.20717239960285,8.598163783136082,1.588603962262493e-07,1.8575264326846448e-07,61091.25019899446,61095.2032336104,3.953034615944489,4,129,0,,AGN,stamp_classifier_rubin_beta,,0.95569545,1,ZTF18aalqjcj
313875415113400364,1,1,150.66110422973085,0.8506961208609167,1.983442780011413e-07,1.995996783145238e-07,61029.319179279686,61108.091155270144,78.77197599045758,957,927,0,,AGN,stamp_classifier_rubin_beta,,0.95521766,1,ZTF20acxzjee
170028510549115004,1,1,151.39356372829002,2.1711177021998487,3.540097413317731e-07,3.722043341344616e-07,61090.180597784965,61109.14520318322,18.964605398257845,732,1006,0,,AGN,stamp_classifier_rubin_beta,,0.9548855,1,ZTF22abtbpdp
170028526448672886,1,1,185.21319927571128,7.733598909016089,1.825711495895924e-07,1.98898897438291e-07,61090.247937232445,61098.24137255241,7.993435319964192,562,558,0,,AGN,stamp_classifier_rubin_beta,,0.9546937,1,ZTF25acicrkt
170028526734409803,1,1,186.2068389127695,7.847213621487301,1.0990315092826889e-07,1.168171432919647e-07,61090.24892803998,61095.32848646294,5.079558422956325,193,323,0,,AGN,stamp_classifier_rubin_beta,,0.95415854,1,ZTF23aaecajp
313677517227557009,1,1,53.38304863131066,-27.154593246796757,1.8385988223663411e-06,1.8179676594720088e-06,60984.25174526548,61108.03271644346,123.78097117797734,11,13,0,,AGN,stamp_classifier_rubin_beta,,0.95397496,1,ZTF22abgazlr
170028528756064351,1,1,187.1389289550603,7.915361895523102,7.253967876184722e-07,8.048168036079849e-07,61090.2484597937,61095.2185456929,4.970085899200058,129,286,0,,AGN,stamp_classifier_rubin_beta,,0.95351106,1,ZTF24aaiyasg
170050533220417683,1,1,187.39233642676336,9.536833680299832,1.29031895994558e-05,1.2852830877818631e-05,61095.290786506,61095.290786506,0.0,1,0,0,,AGN,stamp_classifier_rubin_beta,,0.95339644,1,"ZTF23aafkssb,ZTF23aagfxtv"
170050533242437784,1,1,187.53890736388723,9.154930951558358,1.3642626362679443e-05,1.4514487237368118e-05,61095.290786506,61095.32848646294,0.0376999569343752,2,1,0,,AGN,stamp_classifier_rubin_beta,,0.95283437,1,ZTF19aadfvuo
170028510633525382,1,1,150.86266112008238,3.438106265650476,2.767731943293359e-07,2.996207469125658e-07,61090.18106558244,61097.18213917282,7.001073590385204,223,709,0,,AGN,stamp_classifier_rubin_beta,,0.83631814,1,ZTF24absiatb
170059310776713273,1,1,149.9837190509006,1.8066566638063104,1.0167534128413536e-05,1.1321734746161384e-05,61097.295770590354,61097.295770590354,0.0,1,0,0,,AGN,stamp_classifier_rubin_beta,,0.83446705,1,ZTF23aaghhvc
170028526511063193,1,1,186.94349790228793,6.381420798621449,2.455045490095785e-07,2.643363983443928e-07,61090.247937232445,61098.24137255241,7.993435319964192,581,578,0,,AGN,stamp_classifier_rubin_beta,,0.83127844,1,ZTF20abbkvbq
313871013133680717,1,1,150.02327035806923,2.7523946258279186,4.260233407908818e-07,4.528140729073926e-07,61028.31830778888,61109.1447367893,80.82642900041537,899,1034,0,,AGN,stamp_classifier_rubin_beta,,0.83056986,1,ZTF21aaipdsi
170046116825923774,1,1,187.7914858296668,8.53672774760424,3.225202764288018e-06,3.618723498450086e-06,61094.25012918438,61095.32848646294,1.078357278558542,3,2,0,,AGN,stamp_classifier_rubin_beta,,0.82839566,1,ZTF21aarywgw
170028538058506296,1,1,187.28518384610055,7.91355173161408,7.365281464008898e-06,7.964159918155116e-06,61090.260488989894,61095.21808027246,4.957591282567591,16,182,0,,AGN,stamp_classifier_rubin_beta,,0.82798433,1,ZTF18abaeokc
313998569523118217,1,1,150.81796342438182,1.4088384196377517,1.67403366286897e-06,1.8023245671032763e-06,61057.30285832961,61095.16411102216,37.8612526925499,215,340,0,,AGN,stamp_classifier_rubin_beta,,0.82684296,1,ZTF20aadakji
170032912309157936,1,1,149.69297588670148,0.8597575565808077,1.0487793917296706e-07,1.0263599329046928e-07,61091.214756270536,61094.171229547865,2.9564732773287687,3,29,0,,AGN,stamp_classifier_rubin_beta,,0.8265407,1,ZTF18actsmne
170028511166201992,1,1,150.02824010659006,3.767834936933718,6.308126864794443e-08,6.300658492600793e-08,61090.181996839354,61109.14520318322,18.963206343869388,292,882,0,,AGN,stamp_classifier_rubin_beta,,0.8265218,1,ZTF19acmxncj
170028527840133210,1,1,187.33807152618095,8.137511562885226,3.7322362412724274e-07,3.845635960474221e-07,61090.25079449601,61095.21515192313,4.964357427117648,78,181,0,,AGN,stamp_classifier_rubin_beta,,0.8244884,1,ZTF18abaeomj
170028526740701185,1,1,186.9691915527195,8.090693292389979,7.565386173997155e-08,7.808081476805015e-08,61090.2484597937,61098.2326437367,7.984183943000971,335,545,0,,AGN,stamp_classifier_rubin_beta,,0.8235082,1,ZTF24aajcsss
170028528328769652,1,1,185.30412936353136,8.723940504657385,3.482049794690127e-07,3.692920605187779e-07,61090.24986030235,61095.21748577128,4.967625468925689,22,40,0,,AGN,stamp_classifier_rubin_beta,,0.81775576,1,ZTF19aalomiv
170028527004418136,1,1,185.99472047278908,8.145882687665404,8.355109044613004e-06,9.720480789492332e-06,61090.24986030235,61095.19886464735,4.949004344991408,17,264,0,,AGN,stamp_classifier_rubin_beta,,0.8176106,1,ZTF21abifcst
170028511072354416,1,1,150.35364872149597,1.0080441110350342,8.994048878146315e-08,8.92151387073972e-08,61090.182463713754,61095.16411102216,4.9816473084065365,253,352,0,,AGN,stamp_classifier_rubin_beta,,0.8175099,1,ZTF24aabcdpe
170068070023823485,1,1,53.8831278341433,-27.307016897329813,3.910060849838124e-06,3.7181619531066785e-06,61099.0424163051,61108.02833369402,8.985917388919916,7,8,0,,AGN,stamp_classifier_rubin_beta,,0.8167454,1,ZTF22abgazmb
170032927991660550,1,1,151.29227891124162,1.0604524865244458,1.506263197370572e-05,1.378262459184043e-05,61091.2822868433,61091.2822868433,0.0,1,0,0,,AGN,stamp_classifier_rubin_beta,,0.8159561,1,ZTF18acrmnne
313888627167854696,1,1,149.49886375964445,2.7826359319405523,2.89437477990407e-07,3.0442856849349953e-07,61032.328496270005,61109.1447367893,76.81624051929248,772,946,0,,AGN,stamp_classifier_rubin_beta,,0.8156499,1,ZTF22abtbonv
170028534051373453,1,1,188.2846935840098,7.477287179622797,2.9568449557802003e-06,3.2102585191749216e-06,61090.31579776885,61095.21608830271,4.900290533856605,13,12,0,,AGN,stamp_classifier_rubin_beta,,0.81563956,1,ZTF20aazgtjd
170032915970785353,1,1,186.54672705751807,7.666963736450445,8.128351363951908e-08,9.000465204520874e-08,61090.247937232445,61095.32848646294,5.080549230493489,263,247,0,,AGN,stamp_classifier_rubin_beta,,0.8155823,1,ZTF18aaxzgzl
170028530469437529,1,1,184.9531989209119,7.79203736458942,2.25271134741698e-07,2.313357485232209e-07,61090.26465942573,61098.23997026903,7.975310843306943,100,393,0,,AGN,stamp_classifier_rubin_beta,,0.8145843,1,ZTF24aaivocw
