RA,DEC,ztf_oid,lsst_oid,redshift,z_err,z_source
187.07760550028064,8.124345913858598,ZTF24aaivdpr,170028526496907292,2.202682,0.0004406894,SDSS (QSO)
150.286230561589,0.9584989030804845,ZTF24aaeyuwr,313871015541211137,2.041577,0.000693139,SDSS (QSO)
187.55596106382487,7.2318786347262565,ZTF21aajviuk,170028527322660878,1.125129,0.0002131958,SDSS (QSO)
149.85190312075258,1.998358223914927,ZTF20acymahl,170028510647156885,1.239325,0.00038488,SDSS (QSO)
150.81791611785462,1.4088572647069417,ZTF20aadakji,313998569523118217,0.809018611907959,0.0002824871335178,DESI (QSO)
189.0755096156352,8.3893809694543,ZTF21aautxqr,170050543269445740,0.7793307,0.000322376,SDSS (QSO)
148.62673323999894,2.25729764,ZTF25aadzjcs,170028500537835652,2.047659,0.0007956657,SDSS (QSO)
186.51976292976192,8.894741361904764,ZTF20aavxgcx,170028527276523603,2.232673,0.0006566423,SDSS (QSO)
150.08925728350556,3.3142854366789227,ZTF21aaiozpy,170028500590264433,4.016604,0.00196066,SDSS (QSO)
150.68895352389225,3.5904390655106027,ZTF20acxzjzo,170046091792744717,1.642718,0.0005386398,SDSS (QSO)
186.97861084858752,7.348914259322033,ZTF23aajltqq,170028526631649346,2.387302,0.0006961582,SDSS (QSO)
150.95943342873892,1.5293396276014084,ZTF20acxzjcj,170028500623294589,1.188692,0.0006862303,SDSS (QSO)
185.8491129,8.7526478,ZTF19aatgppr,170028527120810077,2.293582,0.0002212409,SDSS (QSO)
186.00779020145106,6.969957566231478,ZTF24aaivnmh,170028526485897299,2.336297,0.0004026065,SDSS (QSO)
187.99387746757546,6.994527703657117,ZTF22acaukhl,170028528801677394,2.97888,0.0001834159,SDSS (QSO)
188.976706,9.0538084,ZTF23aafkiyz,170050533268127989,1.109198,0.000460605,SDSS (QSO)
185.83678677851478,7.94528927487707,ZTF23aaowqlx,170028527000748084,2.589186,0.0003714338,SDSS (QSO)
150.6594196950569,1.6296542673288623,ZTF20aagwxwy,313871014355271825,2.496748,0.0002550688,SDSS (QSO)
186.0613188143585,7.3346794539413365,ZTF20aatfisc,170028526620115043,1.630529,0.0003199808,SDSS (QSO)
318.58329402696427,-6.239366941724464,ZTF20abhjjht,170472775618134260,,,
150.06560245,2.9293702,ZTF21abaijyu,170046091945836650,0.1029603,2.152643e-05,SDSS (GALAXY)
149.17641391714287,2.098458107619048,ZTF20acnywwx,313871015525482644,1.03321,0.0003304299,SDSS (QSO)
